Open,High,Low,Close,Volume,AdjustedClose
4550.0,4580.0,4480.0,4490.0,205233800.0,3668.392822265625
4490.0,4490.0,4300.0,4320.0,207373600.0,3529.500732421875
4250.0,4360.0,4250.0,4250.0,336711300.0,3472.309814453125
4270.0,4520.0,4270.0,4450.0,272650400.0,3635.712646484375
4500.0,4530.0,4430.0,4450.0,129716500.0,3635.712646484375
4350.0,4460.0,4300.0,4440.0,132614900.0,3627.542236328125
4440.0,4490.0,4410.0,4430.0,122101000.0,3619.37255859375
4410.0,4440.0,4320.0,4330.0,175709000.0,3537.6708984375
4320.0,4500.0,4320.0,4460.0,165758600.0,3643.8828125
4430.0,4450.0,4350.0,4350.0,138961700.0,3554.01123046875
4500.0,4540.0,4440.0,4540.0,209962100.0,3709.244140625
4540.0,4540.0,4390.0,4430.0,193724500.0,3619.37255859375
4470.0,4630.0,4450.0,4630.0,379626500.0,3782.775634765625
4540.0,4600.0,4480.0,4480.0,225697500.0,3660.223388671875
4530.0,4570.0,4510.0,4520.0,117643300.0,3692.903564453125
4470.0,4510.0,4400.0,4430.0,157277700.0,3619.37255859375
4460.0,4460.0,4400.0,4400.0,133318000.0,3594.8623046875
4400.0,4470.0,4380.0,4470.0,150604000.0,3652.052734375
4500.0,4520.0,4480.0,4490.0,161768800.0,3668.392822265625
4470.0,4470.0,4360.0,4400.0,222410400.0,3594.8623046875
4260.0,4350.0,4260.0,4340.0,164017200.0,3545.841552734375
4300.0,4410.0,4300.0,4360.0,150381800.0,3562.181640625
4360.0,4450.0,4360.0,4450.0,160729900.0,3635.712646484375
4420.0,4530.0,4410.0,4430.0,240023000.0,3619.37255859375
4370.0,4400.0,4350.0,4370.0,185763100.0,3570.351806640625
4400.0,4410.0,4340.0,4400.0,95058800.0,3594.8623046875
4430.0,4430.0,4380.0,4380.0,103964600.0,3578.521728515625
4410.0,4410.0,4310.0,4320.0,106208500.0,3529.500732421875
4300.0,4360.0,4300.0,4310.0,127600700.0,3521.330810546875
4320.0,4350.0,4310.0,4340.0,66083900.0,3545.841552734375
4310.0,4330.0,4270.0,4280.0,152306100.0,3496.820068359375
4320.0,4330.0,4280.0,4300.0,178535800.0,3513.16064453125
4280.0,4310.0,4180.0,4180.0,228536100.0,3415.118896484375
4120.0,4220.0,4120.0,4150.0,239939100.0,3390.608642578125
4150.0,4200.0,4110.0,4140.0,154659500.0,3382.4384765625
4090.0,4120.0,3960.0,4040.0,246853600.0,3300.73681640625
4040.0,4160.0,4040.0,4090.0,180648400.0,3341.587646484375
4050.0,4100.0,4020.0,4080.0,125309100.0,3333.417724609375
4040.0,4110.0,4040.0,4050.0,172127500.0,3308.9072265625
4090.0,4200.0,4050.0,4200.0,112914000.0,3431.458984375
4150.0,4170.0,4100.0,4120.0,80867700.0,3366.097900390625
4120.0,4140.0,4100.0,4110.0,56085200.0,3357.927978515625
4110.0,4130.0,4030.0,4060.0,165745200.0,3317.077392578125
4010.0,4090.0,4010.0,4070.0,188729700.0,3325.2470703125
4060.0,4120.0,4050.0,4110.0,91362800.0,3357.927978515625
4110.0,4140.0,4080.0,4140.0,135284500.0,3382.4384765625
